id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13446633,JH246590,2024-05-01 17:00:00,002XX E 37TH ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,212,2,3,35,08B,1178665.0,1880515.0,2024,2024-12-21T15:40:46.000,41.827435856,-87.620005983,"{'latitude': '41.827435856', 'longitude': '-87.620005983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446870,JH246611,2024-05-01 17:00:00,083XX S MARYLAND AVE,0810,THEFT,OVER $500,STREET,False,False,632,6,8,44,06,1183341.0,1849962.0,2024,2024-12-21T15:40:46.000,41.743487913,-87.603801707,"{'latitude': '41.743487913', 'longitude': '-87.603801707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13449854,JH250194,2024-05-01 17:00:00,004XX E 79TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,False,True,624,6,6,44,08B,1180725.0,1852731.0,2024,2024-12-21T15:40:46.000,41.75114682,-87.613301914,"{'latitude': '41.75114682', 'longitude': '-87.613301914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13506896,JH319961,2024-05-01 17:00:00,039XX N ST LOUIS AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1732,17,35,16,11,1152357.0,1925905.0,2024,2024-12-21T15:40:46.000,41.95254948,-87.71532733,"{'latitude': '41.95254948', 'longitude': '-87.71532733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13681534,JH529747,2024-05-01 17:00:00,053XX N CENTRAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,1623,16,45,11,08B,1137852.0,1935344.0,2024,2024-12-21T15:40:46.000,41.978725594,-87.768420169,"{'latitude': '41.978725594', 'longitude': '-87.768420169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446765,JH246461,2024-05-01 17:03:00,028XX W 24TH BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1033,10,24,30,14,1157788.0,1887798.0,2024,2024-12-21T15:40:46.000,41.847871391,-87.696402727,"{'latitude': '41.847871391', 'longitude': '-87.696402727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13462496,JH266316,2024-05-01 17:04:00,026XX N NEWLAND AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,2512,25,36,18,06,1129639.0,1916776.0,2024,2024-12-21T15:40:46.000,41.927917597,-87.799050114,"{'latitude': '41.927917597', 'longitude': '-87.799050114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446661,JH246446,2024-05-01 17:08:00,049XX N SHERIDAN RD,0560,ASSAULT,SIMPLE,SIDEWALK,True,False,2024,20,48,3,08A,1168738.0,1933161.0,2024,2024-12-21T15:40:46.000,41.972120258,-87.654899128,"{'latitude': '41.972120258', 'longitude': '-87.654899128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13567952,JH392735,2024-05-01 17:08:00,052XX S MAPLEWOOD AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,923,9,14,63,02,1160259.0,1869810.0,2024,2024-12-21T15:40:46.000,41.798459539,-87.687830033,"{'latitude': '41.798459539', 'longitude': '-87.687830033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446595,JH246511,2024-05-01 17:11:00,081XX S HARVARD AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,False,False,622,6,6,44,15,1175370.0,1850995.0,2024,2024-12-21T15:40:46.000,41.746504322,-87.632976989,"{'latitude': '41.746504322', 'longitude': '-87.632976989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446788,JH246470,2024-05-01 17:11:00,001XX N LAPORTE AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,VACANT LOT / LAND,True,False,1532,15,28,25,03,1143353.0,1900675.0,2024,2024-12-21T15:40:46.000,41.883489121,-87.749058592,"{'latitude': '41.883489121', 'longitude': '-87.749058592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447816,JH247912,2024-05-01 17:15:00,005XX N LONG AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1523,15,37,25,08B,1140238.0,1902884.0,2024,2024-12-21T15:40:46.000,41.889608521,-87.760443111,"{'latitude': '41.889608521', 'longitude': '-87.760443111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
28095,JH246760,2024-05-01 17:17:00,066XX S BLACKSTONE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,321,3,5,42,01A,1187337.0,1861075.0,2024,2024-05-09T15:41:50.000,41.773889111,-87.588807889,"{'latitude': '41.773889111', 'longitude': '-87.588807889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446562,JH246473,2024-05-01 17:23:00,043XX N CENTRAL AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,1624,16,45,15,06,1138223.0,1928483.0,2024,2024-12-21T15:40:46.000,41.959891679,-87.767222504,"{'latitude': '41.959891679', 'longitude': '-87.767222504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446763,JH246506,2024-05-01 17:23:00,114XX S WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2212,22,19,75,08B,1162443.0,1828705.0,2024,2024-12-21T15:40:46.000,41.685615827,-87.68096358,"{'latitude': '41.685615827', 'longitude': '-87.68096358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446565,JH246498,2024-05-01 17:24:00,041XX W IRVING PARK RD,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1722,17,45,16,18,1147952.0,1926261.0,2024,2024-12-21T15:40:46.000,41.953612394,-87.731511217,"{'latitude': '41.953612394', 'longitude': '-87.731511217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446706,JH246543,2024-05-01 17:29:00,016XX S PULASKI RD,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,1012,10,24,29,04B,1149985.0,1891578.0,2024,2024-12-21T15:40:46.000,41.858399419,-87.724941927,"{'latitude': '41.858399419', 'longitude': '-87.724941927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446702,JH246573,2024-05-01 17:30:00,014XX N SEDGWICK ST,0460,BATTERY,SIMPLE,CHA APARTMENT,False,False,1821,18,27,8,08B,1173383.0,1909988.0,2024,2024-12-21T15:40:46.000,41.908430535,-87.638509526,"{'latitude': '41.908430535', 'longitude': '-87.638509526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447445,JH247472,2024-05-01 17:30:00,037XX W AINSLIE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1712,17,39,14,11,1150718.0,1932304.0,2024,2024-12-21T15:40:46.000,41.970141057,-87.721184349,"{'latitude': '41.970141057', 'longitude': '-87.721184349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446645,JH246522,2024-05-01 17:30:00,085XX S KEDZIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,LIBRARY,False,False,834,8,18,70,14,1156540.0,1847651.0,2024,2024-12-21T15:40:46.000,41.737727691,-87.702064868,"{'latitude': '41.737727691', 'longitude': '-87.702064868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446698,JH246482,2024-05-01 17:34:00,012XX S PULASKI RD,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,True,False,1011,10,24,29,04A,1149911.0,1894169.0,2024,2024-12-21T15:40:46.000,41.865510871,-87.725146183,"{'latitude': '41.865510871', 'longitude': '-87.725146183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446598,JH246484,2024-05-01 17:39:00,060XX S RICHMOND ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,ALLEY,True,False,823,8,15,66,26,1157749.0,1864446.0,2024,2024-12-21T15:40:46.000,41.783791331,-87.697180325,"{'latitude': '41.783791331', 'longitude': '-87.697180325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446613,JH246517,2024-05-01 17:41:00,035XX N KIMBALL AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1732,17,35,21,06,1153099.0,1923246.0,2024,2024-12-21T15:40:46.000,41.945238279,-87.712670479,"{'latitude': '41.945238279', 'longitude': '-87.712670479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446920,JH246557,2024-05-01 17:45:00,009XX W 116TH PL,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,524,5,21,53,02,1171935.0,1827591.0,2024,2024-12-21T15:40:46.000,41.682356331,-87.646247961,"{'latitude': '41.682356331', 'longitude': '-87.646247961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13447647,JH246520,2024-05-01 17:45:00,015XX N CALIFORNIA AVE,0560,ASSAULT,SIMPLE,PARK PROPERTY,False,False,1423,14,26,24,08A,1157454.0,1910018.0,2024,2024-12-21T15:40:46.000,41.908852023,-87.697023929,"{'latitude': '41.908852023', 'longitude': '-87.697023929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13446548,JH246508,2024-05-01 17:50:00,031XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,1733,17,33,16,06,1154535.0,1926422.0,2024,2024-12-21T15:40:46.000,41.953924785,-87.707307,"{'latitude': '41.953924785', 'longitude': '-87.707307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
